# Downloaded spreadsheet from https://www.dlms.com/flag-id/flag-id-list
# and saved as tab separated list and added this header. 2019-04-01
# FLAG ID <TAB> Manufacturer <TAB> Country <TAB> World Region
BER	Bernina Electronic AG	Switzerland	Europe
BFW	BFW Buero fuer Waermemesstechnik OHG	Germany	Europe
BHG	Brunata A/S	Denmark	Europe
BJY	Beijing JOYO smart water meter co.,ltd.	China	Asia
BKB	Boendekomfort AB	Sweden	Europe
BKO	Beko Elektronik AS	Turkey	Middle East
BKT	Bekto Precisa	Bosnia and Herzegovina	Europe
BLU	Bluering	Italy	Europe
BME	Beifeng GmbH	Germany	Europe
BMI	Badger Meter Inc., 6116 E 15th St.	United States of America	North America
BMP	BMETERS Polska Sp.z.o.o.	Poland	Europe
BMT	BMETERS  srl	Italy	Europe
BNR	Beijing Banner Electric Co., Ltd.	China	Asia
BRA	Brandes GmbH	Germany	Europe
BSC	Sanaye Sanjesh Energy Behineh Sazan Toos	Iran	Middle East
BSE	Basari Elektronik A.S.	Turkey	Middle East
BSM	Bluestar Electrical Meter Research Institute	China	Asia
BSP	Byucksan Power Co. Ltd.	South Korea	Asia
BSS	Baylan Su Sayaçları	Turkey	Middle East
BST	BESTAS Elektronik Optik	Turkey	Middle East
BSX	BS-Messtechnik UG	Germany	Europe
BTA	Buta Elektromekanik A.Ş.	Turkey	Middle East
BTL	BIT-LAB
BTR	RIA-BTR Produktions-GmbH	Germany	Europe
BTS	Basari Teknolojik Sistemler AS	Turkey	Middle East
BUR	Bopp und Reuther Messtechnik GmbH	Germany	Europe
BXC	Beijing Fuxing Xiao-Cheng Electronic Technology Stock Co., Ltd Xisanhuan Beilu	China	Asia
BYD	BYD Company Limited	China	Asia
BYL	Baylan	Turkey	Middle East
BYW	Baylan Water Meters	Turkey	Middle East
BZR	Gebr. Bauer GbR	Germany	Europe
CAD	CADIS	Belgium	Europe
CAH	MAEC – GROUPE CAHORS	France	Europe
CAL	Caleffi S.p.A.	Italy	Europe
CAR	CARI Electronic	France	Europe
CAT	Cubes And Tubes OY	Finland	Europe
CAV	CaveTronic	Poland	Europe
CBI	Circuit Breaker Industries	South Africa	Africa
CBS	CB Svendsen A/S	Denmark	Europe
CCS	Chetas Control Systems Pvt Ltd	India	Asia
CDA	Centre for Development of Advanced Computing	India	Asia
CDL	Customised Data Ltd.	United Kingdom	Europe
CEB	Cebyc AS	Norway	Europe
CEL	Creative Electronics (Pvt) Ltd	Pakistan	Asia
CEM	YAVUZ METAL SANAYI VE TICARET A.S.	Turkey	Middle East
CET	Cetinkaya Aydinlatma	Turkey	Middle East
CGC	Contor Group S.A.	Romania	Europe
CGO	Cavagna Group S.p.A	Italy	Europe
CHC	CHUN-IL INSTRUMENT CO.,LTD	South Korea	Asia
CHE	Shandong Chenhui Electronic Technology Co., Ltd.	China	Asia
CHM	Chung-Hsin Electric and Machinery Manufacturing Corp. 	Taiwan	Asia
CHS	Smart Services International Sagl	Switzerland	Europe
CIR	Circutor	Spain	Europe
CJS	CJS Technology Ltd	United Kingdom	Europe
CLA	3g celllabs private limited	India	Asia
CLB	CMC S.r.l.	Italy	Europe
CLE	Shen Zhen Clou Electronics Co Ltd. 	China	Asia
CLO	Clorius  Raab Karcher Energi Service A/S
CLT	Zhuhai S.E.Z. Calintech Electric Co., Ltd.	China	Asia
CLY	Clayster AB	Sweden	Europe
